address,symbol,name,decimals,total_supply,block_number
0x0b11150bc5f4fbe0ae20df1c61968d6dfce6cf55,🐫,Murex Coin,0,,
0x7310d8f7b41374a11a128b16c9f2439c265e0f2f,P,Gozi,2,10000,
0xadc46ff5434910bd17b24ffb429e585223287d7f,,,8,200000000000,
0x3e254e363458d1f06f2d67bbd95fda726c7c57a5,Wh,Active PD,,,
0xac514f05160d2723aa7fb27bf98abf347dd26d2d,,,0,,
0x6131c42fa982e56929107413a9d526fd99405560,,,1,2121837249362470000000,
0x01a71ede8c75403f5bd4108a727cd6c0d2347651,mad,madonna,0,,
0x9863cdc84dccd6615c0fa94771b83e3e42a2bdb5,,,,1000000,
0x59717002953f51ba30ffbc944b187629b81b301d,*,OlpinCoin,0,,
0x74e63de44721c2ffc1d03b3046b1b251f9ed4a90,DAE,Daemon Shares,0,,
0x3550c15cfa90a26ebc6bdb5c557da5327c0e49ba,MFT,My First Token,2,100000,
0xbe1c8694b8457b4f8dd06eb11d236b4aa4d5b2b9,DAC,TheDAC,0,1000000000000000000,
0xd3e9a471d35601f6af62816953071c03debf0b33,,,,,
0x06bb6701983e126f31a4c20d6becb12dfd70709e,DTT,Dog Test Token2,18,1000000000000000000000000000,
0x3956a8fef0a047a10170620293c84fd68507335a,%,TKS,0,,
0x11db9be2cb7ef1e61e7021866f531360e20e5cfd,Cr,lonshakov credit,0,1000000000,
0x4901f8284145d771237f93e9d8d266eb0c947d7d,DAN,DanCoin,0,1000000,
0x7660727d3cb947e807acead927ef3ede24c4a18d,,,,1111055400000500010,
0xfb1097701a3794700159f4d0c6d35205408f5fee,PZZ,Pizza Token,0,200,
0xbcf899e6c7d9d5a215ab1e3444c86806fa854c76,,,1,30696803822257100000000,
0x95c7e9696014b0b16ea612215fb54d3d76dab76e,%,Renato Furtado,2,,
0x9bf2fbe8f9d844d64ad94fdf8a5c2d7bf3f7658c,VRT,VIURE Founder's Token,2,125000,
0x33f36a9552d17dc455354f532dc2628863f7ebee,[MT],MyToken,2,1,
0x864233a06d8b8a41970e03750abbca510fd61fab,卤,SaltCoin,4,100000,
0x4960b83719cbd574d131798402b837957b9dc1e3,E,EtherDollar,4,,
0x5147a804d7e5fe983d5bdab0073621cad3ed1c92,MENTAS,%,2,10000,
0x4dc32face4209f052787de6a787024256ac9b709,SBX,Simon Bucks,4,1000000,
0x39771e2d34eda36a49ff4fa4194d7fcb839165da,,,1,162465225169082000000,
0x183acd4c8a83a01229b434af39702b4f8fc896fb,$$$,Pesos,2,100000000000000,
0x016dcbef5fa51f354064d505288f3908d84b6411,D,Dinar,4,,
0xf86be8372c7d9626dfbe5f07907b8853cfc60351,🌀 SHARE,noxonfund.com,0,0,
0x2c9146d3d9cce80a3ddbba671096999751a05c9f,釷,Thorium,0,100000000,
0xc3206a22bfb1d9123d081fe21ecec482390ec8ca,%,Smart Contract Token,2,100000000,
0x131288b47c92409d0778d0aa2fbb8367e3399d33,,,,,
0xef9c4ca954fc6f92c8873b1f37b9d862372b850c,!,indicoin,2,,
0xc064f10ad2249ac4294aaf89cb762253c601241e,CoinexCNY,CoinexCNY,2,120000000,
0x805f0bc336c798e11a319eb78c45cada920290f9,,,,,
0xb3c668c2332ae9cbd352bbd9362b5c920affa982,%,Testcoin,2,10000,
0xf8cd93410f5a6f9ded82e6d691285d49eddc3472,@,gadgets,0,,
0x927e57532ad8468515bb026df6dc29428911b26c,SUC,Sustcoin,,,
0x0487fa5bc4fc925b934a6adfb8677911eac01a45,P,PaceO,2,1000000,
0xf803b9062e4a1975de5b176d6987777b9e20ca74,ß,Blakecoin,0,100,
0x09b084cbd502f5a3ad5bdd46bd4ae565e4c53089,,,0,18059123994785100000,
0x2d95fd46a9de978d9e4ab9eda0d8559515c3a401,Ƀc,BalsamCoins,2,,
0xab890b80eddfd10336de9f60e8a42e980df0e2e2,TNT,Test Network Token,18,1513292682926830000000,
0x37c62a5d668d574b00f4ab098f24ebbf95fb9853,OC,Octy Coin,0,,
0xca11327cbf2da643eceab60071381748b0f779df,G,GLY,8,11100000000000000000,
0x7e45c6613cae0be366fd2fc677011a3afaedb9f4,TMC,TimeCoin,0,,
0xe3ee9156a51e593cd13f2a2bfc30035feae4f2fb,S,Strat,0,100,
0x0ea42af3a27ed36f12c209c6ef9f599651729608,%,Turnip,2,,
0x94f27b5141e17dd8816242d752c7be8e6764bd22,ETH,ETHER,8,,
0x87148e1e98a69adf4a4fb27344baf9c08d533442,♥,favs.pw,1,,
0x55e7c4a77821d5c50b4570b08f9f92896a25e012,P+,GreenPower,,4853884,
0x1faeec45fb4cbac9ee4301e4f2640d2cf908faea,T-A,Test token A,0,100,
0x530c4141bc92c0772bbb871b5b33e41e1f2957f6,%,Walker Evan,2,,
0x081bb738081b81addc39b40a94f9da135a6d3bcf,TURNIP,Turnip,0,13000,
0x99e7dc40d6fb46c1f9d40984cc04c85cbcb694d1,ETH,ETHER,,,
0x7789d991d2552f94066a9b273cd65c8cd763c227,D,Dinar,0,,
0x0631d307221b70cc4c8ada377de03a12b73d7efe,%,MyToken,2,,
0x6fff74cc44da455ba36dfbc1e4029d35fab5a62d,JTD,JSB Test DAO,2,10000,
0x25c6413359059694a7fca8e599ae39ce1c944da2,E,EtherDollar,4,,
0x9df2a2296c378a7a56dcda1bc18906045b299673,TM,Token with minting,2,105299,
0x1975bd06d486162d5dc297798dfc41edd5d160a7,,,1,989001281201759000000,
0x8ce6af0aad2676659116cf57fb44eebf37dfacce,SEX,Stevie Sex Coin,44,,
0x19e53f65918a7bd89640f7ce877a358ae7e1e3c1,%,Test shares,2,,
0xd7bf41bbc8979b3821851b871f055f4ae62b2299,5ea56e7bfd92b168fc18e421da0088bf,Jam Coin,2,,
0xe5fa2a93d09c7f44c73bbd5850ef0c9c610edf70,%,Wingnuts,2,,
0xa0feaf0070267a593d30c1f52874ff68e18d1c77,GIVE,CharityDAO Token,18,300600000000000000000,
0x744f580a064f76e5568681acf26eca8d38f0f9e1,%,pieshopcoin,2,,
0xf0c1162ff7f3119a35842609f49af1087a5816de,,,,,
0xe3adaf4aa94c47930bbda32db823dcfb296472ca,oz t,Bezant,,,
0x3d06638c2bc064b2dc63ee9528558b7fe7b5a8ad,BRN,BRENDA,2,10000,
0x3c4155a609303d205ef3751ff6bffa69b9011409,BB,Asset B,0,,
0x41a7820c86f4bea29e6c9239aeb0fbdba12dd790,🦄,Unicorns,0,0,
